run_name,final_train_accuracy,final_val_accuracy,final_train_loss,final_val_loss,lr,weight_decay,dropout,hidden_dim,layers_to_unfreeze,batch_size
run_057: lr: 0.0001 weight_decay: 0.001 dropout: 0.5 hidden_dim: 128 layers_to_unfreeze: 2 batch_size: 32,0.958324563249842,0.9165029469548132,0.105990513059101,0.2419585429849231,0.0001,0.001,0.5,128,2,32
run_058: lr: 0.0001 weight_decay: 0.001 dropout: 0.5 hidden_dim: 128 layers_to_unfreeze: 2 batch_size: 64,0.9627446853294044,0.9204322200392928,0.0986755857343323,0.2761264247545325,0.0001,0.001,0.5,128,2,64
run_059: lr: 0.0001 weight_decay: 0.001 dropout: 0.5 hidden_dim: 128 layers_to_unfreeze: 3 batch_size: 32,0.9660071563881288,0.93664047151277,0.0953580270939075,0.2258101313252346,0.0001,0.001,0.5,128,3,32
run_060: lr: 0.0001 weight_decay: 0.001 dropout: 0.5 hidden_dim: 128 layers_to_unfreeze: 3 batch_size: 64,0.961376552304778,0.9292730844793712,0.1015125110359649,0.2172792279298741,0.0001,0.001,0.5,128,3,64
run_061: lr: 0.0001 weight_decay: 0.001 dropout: 0.5 hidden_dim: 256 layers_to_unfreeze: 2 batch_size: 32,0.9627446853294044,0.9238703339882122,0.098613645849266,0.2464495840938011,0.0001,0.001,0.5,256,2,32
run_062: lr: 0.0001 weight_decay: 0.001 dropout: 0.5 hidden_dim: 256 layers_to_unfreeze: 2 batch_size: 64,0.9614817933066724,0.9214145383104124,0.105109116195428,0.2374527641445808,0.0001,0.001,0.5,256,2,64
run_063: lr: 0.0001 weight_decay: 0.001 dropout: 0.5 hidden_dim: 256 layers_to_unfreeze: 3 batch_size: 32,0.9725320985055778,0.9351669941060904,0.0756114021467424,0.2229098481051111,0.0001,0.001,0.5,256,3,32
run_064: lr: 0.0001 weight_decay: 0.001 dropout: 0.5 hidden_dim: 256 layers_to_unfreeze: 3 batch_size: 64,0.9733740265207323,0.9332023575638506,0.0703406003438104,0.3448621095514953,0.0001,0.001,0.5,256,3,64
run_065: lr: 0.0001 weight_decay: 0.001 dropout: 0.6 hidden_dim: 128 layers_to_unfreeze: 2 batch_size: 32,0.9640075773521364,0.9204322200392928,0.0929291375025313,0.2769715827843997,0.0001,0.001,0.6,128,2,32
run_066: lr: 0.0001 weight_decay: 0.001 dropout: 0.6 hidden_dim: 128 layers_to_unfreeze: 2 batch_size: 64,0.9711639654809512,0.9135559921414538,0.0810164128465668,0.2989412863502802,0.0001,0.001,0.6,128,2,64
run_067: lr: 0.0001 weight_decay: 0.001 dropout: 0.6 hidden_dim: 128 layers_to_unfreeze: 3 batch_size: 32,0.9767417385813512,0.9346758349705304,0.0642514856505948,0.2397310450995132,0.0001,0.001,0.6,128,3,32
run_068: lr: 0.0001 weight_decay: 0.001 dropout: 0.6 hidden_dim: 128 layers_to_unfreeze: 3 batch_size: 64,0.9597979372763628,0.9273084479371316,0.1050973711039387,0.2321169569590705,0.0001,0.001,0.6,128,3,64
run_069: lr: 0.0001 weight_decay: 0.001 dropout: 0.6 hidden_dim: 256 layers_to_unfreeze: 2 batch_size: 32,0.9630604083350872,0.9165029469548132,0.09480616249108,0.2898124412199837,0.0001,0.001,0.6,256,2,32
run_070: lr: 0.0001 weight_decay: 0.001 dropout: 0.6 hidden_dim: 256 layers_to_unfreeze: 2 batch_size: 64,0.9622184803199326,0.9204322200392928,0.1004369464888933,0.2432481920994335,0.0001,0.001,0.6,256,2,64
run_071: lr: 0.0001 weight_decay: 0.001 dropout: 0.6 hidden_dim: 256 layers_to_unfreeze: 3 batch_size: 32,0.972953062513155,0.9287819253438112,0.0704242360608197,0.2514032037354171,0.0001,0.001,0.6,256,3,32
run_072: lr: 0.0001 weight_decay: 0.001 dropout: 0.6 hidden_dim: 256 layers_to_unfreeze: 3 batch_size: 64,0.9641128183540308,0.9327111984282906,0.0946272375482389,0.2192024878996528,0.0001,0.001,0.6,256,3,64
run_073: lr: 0.0002 weight_decay: 0.0 dropout: 0.4 hidden_dim: 128 layers_to_unfreeze: 2 batch_size: 32,0.9642180593559252,0.9277996070726916,0.0908252471774484,0.260094649614016,0.0002,0.0,0.4,128,2,32
run_074: lr: 0.0002 weight_decay: 0.0 dropout: 0.4 hidden_dim: 128 layers_to_unfreeze: 2 batch_size: 64,0.9699010734582192,0.925343811394892,0.0772013970758743,0.2395205227530072,0.0002,0.0,0.4,128,2,64
run_075: lr: 0.0002 weight_decay: 0.0 dropout: 0.4 hidden_dim: 128 layers_to_unfreeze: 3 batch_size: 32,0.9655861923805514,0.9346758349705304,0.0921302860039356,0.2171464120284864,0.0002,0.0,0.4,128,3,32
run_076: lr: 0.0002 weight_decay: 0.0 dropout: 0.4 hidden_dim: 128 layers_to_unfreeze: 3 batch_size: 64,0.969480109450642,0.9282907662082516,0.0838425641319195,0.2600437791502077,0.0002,0.0,0.4,128,3,64
run_077: lr: 0.0002 weight_decay: 0.0 dropout: 0.4 hidden_dim: 256 layers_to_unfreeze: 2 batch_size: 32,0.9540096821721742,0.9287819253438112,0.1136156350273856,0.2256475179977642,0.0002,0.0,0.4,256,2,32
run_078: lr: 0.0002 weight_decay: 0.0 dropout: 0.4 hidden_dim: 256 layers_to_unfreeze: 2 batch_size: 64,0.9695853504525362,0.9214145383104124,0.0804720345678341,0.2557760765721147,0.0002,0.0,0.4,256,2,64
run_079: lr: 0.0002 weight_decay: 0.0 dropout: 0.4 hidden_dim: 256 layers_to_unfreeze: 3 batch_size: 32,0.9708482424752684,0.9351669941060904,0.0796498855635903,0.2364355875490222,0.0002,0.0,0.4,256,3,32
run_080: lr: 0.0002 weight_decay: 0.0 dropout: 0.4 hidden_dim: 256 layers_to_unfreeze: 3 batch_size: 64,0.9722163754998948,0.9332023575638506,0.072651721999736,0.2453252645630265,0.0002,0.0,0.4,256,3,64
run_081: lr: 0.0002 weight_decay: 0.0 dropout: 0.5 hidden_dim: 128 layers_to_unfreeze: 2 batch_size: 32,0.9722163754998948,0.9297642436149312,0.080689660698282,0.2269373144478718,0.0002,0.0,0.5,128,2,32
run_082: lr: 0.0002 weight_decay: 0.0 dropout: 0.5 hidden_dim: 128 layers_to_unfreeze: 2 batch_size: 64,0.9625342033256156,0.9199410609037328,0.0931090520833246,0.2690871179923561,0.0002,0.0,0.5,128,2,64
run_083: lr: 0.0002 weight_decay: 0.0 dropout: 0.5 hidden_dim: 128 layers_to_unfreeze: 3 batch_size: 32,0.980740896653336,0.93664047151277,0.0545742088655165,0.2910306987797288,0.0002,0.0,0.5,128,3,32
run_084: lr: 0.0002 weight_decay: 0.0 dropout: 0.5 hidden_dim: 128 layers_to_unfreeze: 3 batch_size: 64,0.9731635445169438,0.9302554027504912,0.0737332649830077,0.2521776363751274,0.0002,0.0,0.5,128,3,64
run_085: lr: 0.0002 weight_decay: 0.0 dropout: 0.5 hidden_dim: 256 layers_to_unfreeze: 2 batch_size: 32,0.9749526415491476,0.924852652259332,0.0693051796824044,0.2740636985229368,0.0002,0.0,0.5,256,2,32
run_086: lr: 0.0002 weight_decay: 0.0 dropout: 0.5 hidden_dim: 256 layers_to_unfreeze: 2 batch_size: 64,0.9684276994316986,0.925343811394892,0.0851112405068339,0.2378333922922025,0.0002,0.0,0.5,256,2,64
run_087: lr: 0.0002 weight_decay: 0.0 dropout: 0.5 hidden_dim: 256 layers_to_unfreeze: 3 batch_size: 32,0.9653757103767628,0.9351669941060904,0.092985666711593,0.2306584911549021,0.0002,0.0,0.5,256,3,32
run_088: lr: 0.0002 weight_decay: 0.0 dropout: 0.5 hidden_dim: 256 layers_to_unfreeze: 3 batch_size: 64,0.97137444748474,0.9351669941060904,0.0738502240513744,0.2738861274742659,0.0002,0.0,0.5,256,3,64
run_089: lr: 0.0002 weight_decay: 0.0 dropout: 0.6 hidden_dim: 128 layers_to_unfreeze: 2 batch_size: 32,0.9540096821721742,0.924361493123772,0.1198093148187144,0.2373089058460093,0.0002,0.0,0.6,128,2,32
run_090: lr: 0.0002 weight_decay: 0.0 dropout: 0.6 hidden_dim: 128 layers_to_unfreeze: 2 batch_size: 64,0.9541149231740684,0.9228880157170922,0.1192433398332226,0.2214204186540689,0.0002,0.0,0.6,128,2,64
run_091: lr: 0.0002 weight_decay: 0.0 dropout: 0.6 hidden_dim: 128 layers_to_unfreeze: 3 batch_size: 32,0.9622184803199326,0.930746561886051,0.1013150234108622,0.2427013466731153,0.0002,0.0,0.6,128,3,32
run_092: lr: 0.0002 weight_decay: 0.0 dropout: 0.6 hidden_dim: 128 layers_to_unfreeze: 3 batch_size: 64,0.9753736055567248,0.93614931237721,0.0679780484450237,0.2778108497031311,0.0002,0.0,0.6,128,3,64
run_093: lr: 0.0002 weight_decay: 0.0 dropout: 0.6 hidden_dim: 256 layers_to_unfreeze: 2 batch_size: 32,0.954535887181646,0.925343811394892,0.117305679024489,0.2264450996353022,0.0002,0.0,0.6,256,2,32
run_094: lr: 0.0002 weight_decay: 0.0 dropout: 0.6 hidden_dim: 256 layers_to_unfreeze: 2 batch_size: 64,0.9581140812460536,0.9302554027504912,0.111334431311145,0.2288809100162303,0.0002,0.0,0.6,256,2,64
run_095: lr: 0.0002 weight_decay: 0.0 dropout: 0.6 hidden_dim: 256 layers_to_unfreeze: 3 batch_size: 32,0.9643233003578192,0.9332023575638506,0.0979022256492113,0.2113328985503942,0.0002,0.0,0.6,256,3,32
run_096: lr: 0.0002 weight_decay: 0.0 dropout: 0.6 hidden_dim: 256 layers_to_unfreeze: 3 batch_size: 64,0.9712692064828456,0.9317288801571708,0.0780080933813056,0.2316764411617121,0.0002,0.0,0.6,256,3,64
run_097: lr: 0.0002 weight_decay: 0.0001 dropout: 0.4 hidden_dim: 128 layers_to_unfreeze: 2 batch_size: 32,0.9761102925699852,0.925343811394892,0.0670081883170207,0.2590820623199457,0.0002,0.0001,0.4,128,2,32
run_098: lr: 0.0002 weight_decay: 0.0001 dropout: 0.4 hidden_dim: 128 layers_to_unfreeze: 2 batch_size: 64,0.9705325194695852,0.924361493123772,0.0800328881859503,0.267250956158741,0.0002,0.0001,0.4,128,2,64
run_099: lr: 0.0002 weight_decay: 0.0001 dropout: 0.4 hidden_dim: 128 layers_to_unfreeze: 3 batch_size: 32,0.967059566407072,0.93664047151277,0.0948965756143803,0.2115737070678962,0.0002,0.0001,0.4,128,3,32
run_100: lr: 0.0002 weight_decay: 0.0001 dropout: 0.4 hidden_dim: 128 layers_to_unfreeze: 3 batch_size: 64,0.9777941486002948,0.9292730844793712,0.0595658171684384,0.2479504533331614,0.0002,0.0001,0.4,128,3,64
run_101: lr: 0.0002 weight_decay: 0.0001 dropout: 0.4 hidden_dim: 256 layers_to_unfreeze: 2 batch_size: 32,0.9605346242896232,0.9268172888015715,0.1053701254900468,0.2270663410483737,0.0002,0.0001,0.4,256,2,32
run_102: lr: 0.0002 weight_decay: 0.0001 dropout: 0.4 hidden_dim: 256 layers_to_unfreeze: 2 batch_size: 64,0.972005893496106,0.924852652259332,0.0751690079876182,0.2751247618779218,0.0002,0.0001,0.4,256,2,64
run_103: lr: 0.0002 weight_decay: 0.0001 dropout: 0.4 hidden_dim: 256 layers_to_unfreeze: 3 batch_size: 32,0.9774784255946116,0.9351669941060904,0.0631808567791393,0.2315576623664155,0.0002,0.0001,0.4,256,3,32
run_104: lr: 0.0002 weight_decay: 0.0001 dropout: 0.4 hidden_dim: 256 layers_to_unfreeze: 3 batch_size: 64,0.9762155335718796,0.9341846758349704,0.0657139284670716,0.2460495433486515,0.0002,0.0001,0.4,256,3,64
run_105: lr: 0.0002 weight_decay: 0.0001 dropout: 0.5 hidden_dim: 128 layers_to_unfreeze: 2 batch_size: 32,0.972005893496106,0.9322200392927308,0.0783836990083234,0.2602974299070643,0.0002,0.0001,0.5,128,2,32
run_106: lr: 0.0002 weight_decay: 0.0001 dropout: 0.5 hidden_dim: 128 layers_to_unfreeze: 2 batch_size: 64,0.9625342033256156,0.9238703339882122,0.0981425668999562,0.2714076808018862,0.0002,0.0001,0.5,128,2,64
run_107: lr: 0.0002 weight_decay: 0.0001 dropout: 0.5 hidden_dim: 128 layers_to_unfreeze: 3 batch_size: 32,0.9727425805093664,0.9341846758349704,0.0762439158242693,0.2468440593064768,0.0002,0.0001,0.5,128,3,32
run_108: lr: 0.0002 weight_decay: 0.0001 dropout: 0.5 hidden_dim: 128 layers_to_unfreeze: 3 batch_size: 64,0.9556935382024836,0.930746561886051,0.1175642252263207,0.1930215766539976,0.0002,0.0001,0.5,128,3,64
run_109: lr: 0.0002 weight_decay: 0.0001 dropout: 0.5 hidden_dim: 256 layers_to_unfreeze: 2 batch_size: 32,0.970743001473374,0.9297642436149312,0.0740084087394195,0.2377590911210403,0.0002,0.0001,0.5,256,2,32
run_110: lr: 0.0002 weight_decay: 0.0001 dropout: 0.5 hidden_dim: 256 layers_to_unfreeze: 2 batch_size: 64,0.9606398652915176,0.9184675834970528,0.1006192894932019,0.2619032660144251,0.0002,0.0001,0.5,256,2,64
run_111: lr: 0.0002 weight_decay: 0.0001 dropout: 0.5 hidden_dim: 256 layers_to_unfreeze: 3 batch_size: 32,0.967585771416544,0.9341846758349704,0.0922401798353888,0.2265160229562073,0.0002,0.0001,0.5,256,3,32
run_112: lr: 0.0002 weight_decay: 0.0001 dropout: 0.5 hidden_dim: 256 layers_to_unfreeze: 3 batch_size: 64,0.9680067354241212,0.930746561886051,0.0849347834372816,0.2355299847299317,0.0002,0.0001,0.5,256,3,64
run_113: lr: 0.0002 weight_decay: 0.0001 dropout: 0.6 hidden_dim: 128 layers_to_unfreeze: 2 batch_size: 32,0.948642391075563,0.9204322200392928,0.1333718016175966,0.2234938181278045,0.0002,0.0001,0.6,128,2,32
run_114: lr: 0.0002 weight_decay: 0.0001 dropout: 0.6 hidden_dim: 128 layers_to_unfreeze: 2 batch_size: 64,0.9537992001683856,0.9219056974459724,0.1190123519121383,0.2170993660545536,0.0002,0.0001,0.6,128,2,64
